iter	Passed	Remaining
934	11051	768
935	11060	756
936	11070	744
937	11081	732
938	11091	720
939	11101	708
940	11111	696
941	11122	684
942	11132	672
943	11142	660
944	11151	649
945	11162	637
946	11175	625
947	11185	613
948	11195	601
949	11206	589
950	11216	577
951	11227	566
952	11237	554
953	11246	542
954	11256	530
955	11267	518
956	11278	506
957	11288	494
958	11298	483
959	11307	471
960	11317	459
961	11327	447
962	11337	435
963	11346	423
964	11357	411
965	11366	400
966	11376	388
967	11386	376
968	11397	364
969	11407	352
970	11417	341
971	11427	329
972	11437	317
973	11447	305
974	11457	293
975	11466	281
976	11476	270
977	11486	258
978	11496	246
979	11507	234
980	11517	223
981	11527	211
982	11537	199
983	11548	187
984	11559	176
985	11569	164
986	11579	152
987	11590	140
988	11601	129
989	11612	117
990	11623	105
991	11633	93
992	11644	82
993	11655	70
994	11669	58
995	11680	46
996	11691	35
997	11702	23
998	11712	11
999	11723	0
